Parametro_backend,Parametro_mostrar,Unidad,Tipo_dato,Tipo_umbral,Base_umbral,Valor_min,Valor_max,Usa_sexo_biologico,Usa_ayuno,Categoria_alto,Causas_alto,Categoria_bajo,Causas_bajo,Prioridad_clinica,Dominio_principal,Es_driver,Es_guardrail,Nota
glucose_mg_dl,Glucosa,mg/dL,numerico,clinical_cutoff,guia_clinica,70,99,no,si,Glucosa elevada,"Diabetes; prediabetes; estrés agudo; corticoides; Cushing; infección; pancreatopatía",Hipoglucemia,"Exceso de insulina/sulfonilureas; ayuno prolongado; insuficiencia suprarrenal; sepsis; hepatopatía grave",alta,glucose,si,si,Rango habitual en ayunas
hba1c_pct,HbA1c,%,numerico,clinical_cutoff,guia_clinica,4.0,5.6,no,no,HbA1c elevada,"Diabetes; prediabetes; mal control glucémico crónico",HbA1c baja,"Hemólisis; sangrado reciente; recambio eritrocitario alto",alta,glucose,si,si,Refleja promedio de 2-3 meses
insulin_uIU_ml,Insulina,uIU/mL,numerico,reference,motor_operativo,2,12,no,si,Insulina alta,"Resistencia a insulina; obesidad; síndrome metabólico; insulinoma; fase inicial de DM2",Insulina baja,"DM1; fallo beta; ayuno prolongado; pancreatitis crónica",media,glucose,si,no,Más útil en ayunas y junto con glucosa
triglycerides_mg_dl,Triglicéridos,mg/dL,numerico,clinical_cutoff,guia_clinica,0,149,no,si,Hipertrigliceridemia,"Dieta rica en carbohidratos o alcohol; diabetes descontrolada; obesidad; hipotiroidismo; nefropatía; fármacos",TG bajo,"Desnutrición; malabsorción; hipertiroidismo; enfermedad crónica",media,lipids,si,no,Muy sensible a ayuno y alcohol
ldl_mg_dl,LDL,mg/dL,numerico,clinical_cutoff,guia_clinica,0,99,no,si,LDL elevado,"Dieta; genética; hipotiroidismo; síndrome nefrótico; colestasis; diabetes; sedentarismo",LDL bajo,"Desnutrición; hipertiroidismo; malabsorción; hepatopatía avanzada; tratamiento hipolipemiante",alta,lipids,si,si,Objetivo deseable <100 mg/dL
hdl_mg_dl,HDL,mg/dL,numerico,reference,laboratorio,40,,si,si,HDL óptimo,"Ejercicio; pérdida de peso; genética; alcohol moderado; fármacos",HDL bajo,"Obesidad; tabaco; hipertrigliceridemia; insulinorresistencia; síndrome metabólico",media,lipids,no,no,Usar override por sexo biológico
chol_total_mg_dl,Colesterol total,mg/dL,numerico,reference,laboratorio,0,199,no,si,Hipercolesterolemia,"Dieta; hipercolesterolemia familiar; hipotiroidismo; colestasis; síndrome nefrótico",Colesterol bajo,"Desnutrición; hipertiroidismo; hepatopatía; neoplasia; inflamación crónica",media,lipids,no,no,Desglosar con LDL y HDL
hscrp_mg_l,hsCRP / PCR,mg/L,numerico,clinical_cutoff,guia_clinica,0,1,no,no,PCR elevada,"Infección; inflamación; autoinmunidad; trauma; obesidad; tabaco",PCR muy baja,"Sin relevancia clínica habitual",alta,inflammation,si,si,<1 bajo riesgo CV; >3 alto riesgo CV
esr_mm_h,VSG (ESR),mm/h,numerico,reference,laboratorio,0,15,no,no,VSG alta,"Inflamación; infección; neoplasia; autoinmunidad; anemia; enfermedad renal",VSG baja,"Policitemia; hipofibrinogenemia; drepanocitosis; insuficiencia cardiaca severa",baja,inflammation,no,no,Aumenta con la edad
fibrinogen_mg_dl,Fibrinógeno,mg/dL,numerico,reference,laboratorio,200,400,no,no,Fibrinógeno alto,"Inflamación; infección; embarazo; síndrome nefrótico; tabaco",Fibrinógeno bajo,"CID; hepatopatía grave; fibrinólisis; consumo coagulativo",media,inflammation,no,no,Reactante de fase aguda
wbc_x10_3_mm3,Leucocitos,x10^3/mm3,numerico,reference,laboratorio,4.0,10.0,no,no,Leucocitosis,"Infección; inflamación; estrés; corticoides; leucemia",Leucopenia,"Infecciones virales; fármacos; autoinmunidad; fallo medular",media,inflammation,no,no,El diferencial aporta valor adicional
neut_abs_x10_3_mm3,Neutrófilos abs,x10^3/mm3,numerico,reference,laboratorio,1.8,7.5,no,no,Neutrofilia,"Infección bacteriana; inflamación; corticoides; estrés; tabaco",Neutropenia,"Fármacos; infecciones virales; autoinmunidad; quimioterapia; déficit B12/folato",alta,inflammation,no,no,Neutropenia severa incrementa riesgo infeccioso
lymph_abs_x10_3_mm3,Linfocitos abs,x10^3/mm3,numerico,reference,laboratorio,1.0,4.8,no,no,Linfocitosis,"Infecciones virales; tos ferina; leucemias/linfomas; hipertiroidismo",Linfopenia,"Corticoides; VIH; estrés; desnutrición; enfermedades sistémicas",media,inflammation,no,no,Biomarcador de fragilidad inmunológica
hb_g_dl,Hemoglobina,g/dL,numerico,clinical_cutoff,guia_clinica,13.0,18.0,si,no,Hemoglobina alta,"Policitemia; deshidratación; hipoxia; tabaco",Anemia,"Ferropenia; inflamación; déficit B12/folato; hemólisis; sangrado",alta,hematology,si,si,Usar override por sexo biológico
hct_pct,Hematocrito,%,numerico,reference,laboratorio,40,55,si,no,Hematocrito alto,"Policitemia; deshidratación; hipoxia",Hematocrito bajo,"Anemia; hemodilución; sangrado; sobrecarga hídrica",media,hematology,no,no,Usar override por sexo biológico
rbc_x10_6_mm3,Hematíes,x10^6/mm3,numerico,reference,laboratorio,4.5,6.1,si,no,Eritrocitosis,"Policitemia; deshidratación; hipoxia; tabaco",Anemia hematológica,"Anemia; hemorragia; hemólisis; déficit nutricional; fallo medular",media,hematology,no,no,Usar override por sexo biológico
mcv_fl,VCM (MCV),fL,numerico,reference,laboratorio,80,100,no,no,Macrocitosis,"Déficit B12; déficit folato; alcohol; hepatopatía; hipotiroidismo; reticulocitosis; fármacos; SMD",Microcitosis,"Ferropenia; talasemia; anemia de enfermedad crónica; plomo; sideroblastosis",media,hematology,no,no,Interpretar con Hb y RDW
rdw_pct,RDW,%,numerico,reference,laboratorio,12,15,no,no,Anisocitosis,"Ferropenia; anemia megaloblástica; déficit mixto; postransfusión; hemólisis; recuperación medular",,Sin relevancia aislada habitual,baja,hematology,no,no,Útil como apoyo en anemias
ferritin_ng_ml,Ferritina,ng/mL,numerico,reference,laboratorio,30,300,si,no,Ferritina alta,"Inflamación; infección; hepatopatía; síndrome metabólico; sobrecarga de hierro; neoplasia",Ferropenia,"Ferropenia; pérdidas crónicas; malabsorción; dieta insuficiente",alta,hematology,si,si,Reactante de fase aguda; usar override por sexo biológico
iron_ug_dl,Hierro,mcg/dL,numerico,reference,laboratorio,75,150,no,no,Hierro alto,"Sobrecarga de hierro; hemólisis; hepatitis; suplementos; anemias sideroblásticas",Hierro bajo,"Ferropenia; inflamación; infección; pérdidas sanguíneas; embarazo",alta,hematology,no,no,Muy variable durante el día y con la dieta
transferrin_mg_dl,Transferrina,mg/dL,numerico,reference,laboratorio,215,365,no,no,Transferrina alta,"Ferropenia; embarazo; estrógenos; pérdida proteica",Transferrina baja,"Inflamación; hepatopatía; desnutrición; síndrome nefrótico",media,hematology,no,no,Relacionada con TIBC
transferrin_sat_pct,Sat. transferrina,%,numerico,reference,laboratorio,20,50,no,no,Saturación alta,"Sobrecarga de hierro; hemocromatosis; hemólisis; hepatitis",Saturación baja,"Ferropenia; inflamación; déficit de hierro funcional",alta,hematology,si,no,Si baja con ferritina baja sugiere ferropenia
tibc_ug_dl,TIBC,mcg/dL,numerico,reference,laboratorio,250,450,no,no,TIBC alta,"Ferropenia; embarazo; aumento de transferrina",TIBC baja,"Inflamación; sobrecarga de hierro; hepatopatía; desnutrición",media,hematology,no,no,Interpretar con hierro y ferritina
vitb12_pg_ml,Vitamina B12,pg/mL,numerico,reference,laboratorio,200,900,no,no,B12 alta,"Suplementación; hepatopatía; neoplasias hematológicas; insuficiencia renal",B12 baja,"Déficit dietético; malabsorción; anemia perniciosa; cirugía gástrica; metformina; IBP",alta,hematology,si,no,Correlacionar con síntomas neurológicos y anemia
folate_ng_ml,Folato,ng/mL,numerico,reference,laboratorio,4,,no,no,Folato alto,"Suplementación; dieta rica en folato",Déficit de folato,"Déficit dietético; alcohol; malabsorción; fármacos antifolato",media,hematology,si,no,Puede medirse en suero o eritrocito
alt_u_l,ALT,U/L,numerico,reference,laboratorio,7,41,no,no,ALT elevada,"Hepatitis; hígado graso; fármacos; alcohol; toxicidad hepática; isquemia",ALT muy baja,"Sin relevancia clínica habitual",media,liver,si,no,Más específica de lesión hepatocelular
ast_u_l,AST,U/L,numerico,reference,laboratorio,10,40,no,no,Aumento de AST,"Hepatitis; alcohol; hígado graso; lesión muscular; hemólisis; ejercicio intenso; fármacos",AST muy baja,"Sin relevancia clínica habitual",baja,liver,no,no,Menos específica que ALT
ggt_u_l,GGT,U/L,numerico,reference,laboratorio,10,50,no,no,GGT elevada,"Colestasis; alcohol; hígado graso; fármacos inductores enzimáticos",GGT baja,"Sin relevancia clínica habitual",media,liver,si,no,Marcador sensible pero poco específico
alp_u_l,ALP,U/L,numerico,reference,laboratorio,40,130,no,no,ALP elevada,"Colestasis; enfermedad ósea; fractura en reparación; Paget; metástasis óseas; embarazo",ALP baja,"Malnutrición; hipofosfatasia; déficit zinc/magnesio; hipotiroidismo",media,liver,no,no,Interpretar con GGT
bilirubin_total_mg_dl,Bilirrubina total,mg/dL,numerico,reference,laboratorio,0.2,1.2,no,no,Hiperbilirrubinemia,"Hemólisis; Gilbert; hepatitis; colestasis; obstrucción biliar",Bilirrubina baja,"Sin relevancia clínica habitual",media,liver,no,no,Fraccionar si está elevada
creatinine_mg_dl,Creatinina,mg/dL,numerico,reference,laboratorio,0.7,1.3,si,no,Creatinina elevada,"Disminución filtrado renal; deshidratación; masa muscular alta; rabdomiólisis; fármacos",Creatinina baja,"Baja masa muscular; caquexia; embarazo; hepatopatía avanzada",media,kidney,si,no,Interpretar con eGFR; usar override por sexo biológico
egfr_ml_min_1_73m2,eGFR,mL/min/1.73m2,numerico,clinical_cutoff,guia_clinica,60,,no,no,eGFR bajo,"ERC; insuficiencia renal aguda; envejecimiento; nefropatía diabética; nefropatía hipertensiva",Hiperfiltración,"Diabetes temprana; obesidad; embarazo; hiperfiltración glomerular",alta,kidney,si,si,<60 persistente sugiere ERC
uric_acid_mg_dl,Ácido úrico,mg/dL,numerico,reference,laboratorio,3.5,7.2,no,no,Hiperuricemia,"Gota; síndrome metabólico; alcohol; diuréticos; lisis tumoral; insuficiencia renal; alta ingesta purinas",Ácido úrico bajo,"SIADH; fármacos uricosúricos; hepatopatía; tubulopatías",media,kidney,no,no,Interpretar con función renal y contexto
urea_mg_dl,Urea,mg/dL,numerico,reference,laboratorio,15,40,no,no,Urea alta,"Deshidratación; catabolismo; hemorragia digestiva; insuficiencia renal; dieta rica en proteínas",Urea baja,"Hepatopatía; malnutrición; baja ingesta proteica; embarazo",media,kidney,no,no,Puede expresarse como urea o BUN
bmi_kg_m2,BMI,kg/m2,numerico,reference,guia_clinica,18.5,24.9,no,no,IMC alto,"Sobrepeso; obesidad",IMC bajo,"Bajo peso; desnutrición; sarcopenia; enfermedad crónica",media,context,no,no,Indicador poblacional; no mide composición corporal
waist_cm,Cintura,cm,numerico,clinical_cutoff,guia_clinica,0,94,si,no,Obesidad abdominal,"Obesidad abdominal; síndrome metabólico; riesgo cardiometabólico",,No aplica,alta,context,no,si,Usar override por sexo biológico
age_years,Edad,anos,contexto,relative_orientation,motor_operativo,18,120,no,no,No aplica,No aplica,No aplica,No aplica,baja,context,no,no,Variable de contexto demográfico
sex,Sexo,categorico,contexto,relative_orientation,motor_operativo,,,no,no,No aplica,No aplica,No aplica,No aplica,baja,context,no,no,Sexo biológico para interpretación analítica
